ID,Toxicity
155000,0
155001,1
155002,0
155003,1
155004,0
155005,1
155006,0
155007,0
155008,0
155009,1
155010,0
155011,0
155012,1
155013,0
155014,0
155015,1
155016,1
155017,0
155018,1
155019,0
155020,0
155021,0
155022,0
155023,0
155024,1
155025,0
155026,1
155027,0
155028,0
155029,0
155030,1
155031,0
155032,0
155033,0
155034,0
155035,0
155036,1
155037,0
155038,0
155039,1
155040,0
155041,0
155042,0
155043,0
155044,1
155045,0
155046,0
155047,1
155048,0
155049,0
155050,0
155051,1
155052,1
155053,0
155054,1
155055,1
155056,1
155057,1
155058,0
155059,0
155060,0
155061,0
155062,0
155063,1
155064,0
155065,0
155066,0
155067,0
155068,1
155069,1
155070,0
155071,1
155072,0
155073,0
155074,1
155075,0
155076,1
155077,0
155078,0
155079,1
155080,1
155081,1
155082,1
155083,1
155084,1
155085,1
155086,1
155087,0
155088,0
155089,0
155090,1
155091,0
155092,0
155093,1
155094,1
155095,0
155096,1
155097,0
155098,1
155099,1
155100,0
155101,0
155102,0
155103,0
155104,1
155105,0
155106,1
155107,0
155108,1
155109,1
155110,1
155111,0
155112,1
155113,0
155114,0
155115,0
155116,1
155117,1
155118,1
155119,0
155120,0
155121,0
155122,0
155123,1
155124,1
155125,0
155126,1
155127,1
155128,0
155129,1
155130,0
155131,0
155132,0
155133,0
155134,0
155135,0
155136,0
155137,1
155138,0
155139,0
155140,1
155141,0
155142,0
155143,0
155144,1
155145,0
155146,1
155147,0
155148,0
155149,1
155150,1
155151,0
155152,0
155153,1
155154,0
155155,0
155156,0
155157,1
155158,1
155159,1
155160,1
155161,1
155162,0
155163,1
155164,1
155165,0
155166,0
155167,0
155168,0
155169,1
155170,1
155171,0
155172,1
155173,1
155174,0
155175,0
155176,0
155177,0
155178,1
155179,0
155180,1
155181,1
155182,1
155183,0
155184,1
155185,1
155186,0
155187,1
155188,0
155189,1
155190,1
155191,1
155192,0
155193,0
155194,0
155195,0
155196,0
155197,1
155198,0
155199,1
155200,1
155201,0
155202,0
155203,1
155204,0
155205,1
155206,1
155207,0
155208,1
155209,1
155210,0
155211,0
155212,1
155213,0
155214,0
155215,1
155216,0
155217,1
155218,0
155219,0
155220,1
155221,0
155222,1
155223,1
155224,0
155225,1
155226,1
155227,1
155228,1
155229,1
155230,1
155231,1
155232,1
155233,0
155234,0
155235,0
155236,1
155237,0
155238,1
155239,0
155240,0
155241,0
155242,1
155243,1
155244,0
155245,0
155246,0
155247,1
155248,0
155249,0
155250,0
155251,1
155252,1
155253,1
155254,0
155255,0
155256,1
155257,1
155258,1
155259,1
155260,0
155261,1
155262,0
155263,1
155264,0
155265,1
155266,1
155267,1
155268,1
155269,1
155270,1
155271,1
155272,1
155273,0
155274,1
155275,1
155276,1
155277,0
155278,1
155279,1
155280,1
155281,0
155282,0
155283,0
155284,0
155285,0
155286,0
155287,0
155288,1
155289,1
155290,1
155291,0
155292,0
155293,0
155294,1
155295,1
155296,1
155297,1
155298,1
155299,0
155300,0
155301,0
155302,0
155303,0
155304,0
155305,0
155306,0
155307,0
155308,1
155309,0
155310,0
155311,0
155312,1
155313,0
155314,0
155315,0
155316,1
155317,0
155318,0
155319,0
155320,1
155321,0
155322,1
155323,1
155324,1
155325,0
155326,1
155327,1
155328,0
155329,0
155330,0
155331,1
155332,0
155333,1
155334,1
155335,0
155336,0
155337,0
155338,1
155339,1
155340,0
155341,0
155342,1
155343,0
155344,1
155345,0
155346,0
155347,0
155348,0
155349,1
155350,1
155351,0
155352,0
155353,1
155354,0
155355,0
155356,0
155357,0
155358,0
155359,1
155360,1
155361,1
155362,1
155363,1
155364,0
155365,1
155366,1
155367,0
155368,1
155369,1
155370,1
155371,1
155372,0
155373,1
155374,0
155375,0
155376,1
155377,1
155378,0
155379,1
155380,1
155381,0
155382,0
155383,1
155384,0
155385,0
155386,0
155387,0
155388,0
155389,0
155390,1
155391,0
155392,0
155393,0
155394,1
155395,0
155396,1
155397,0
155398,0
155399,0
155400,0
155401,0
155402,1
155403,0
155404,1
155405,1
155406,0
155407,1
155408,0
155409,1
155410,0
155411,0
155412,0
155413,0
155414,1
155415,0
155416,0
155417,0
155418,1
155419,0
155420,0
155421,0
155422,0
155423,0
155424,0
155425,0
155426,0
155427,1
155428,1
155429,1
155430,0
155431,0
155432,0
155433,0
155434,0
155435,1
155436,0
155437,0
155438,0
155439,0
155440,0
155441,0
155442,1
155443,1
155444,0
155445,0
155446,0
155447,0
155448,0
155449,1
155450,0
155451,1
155452,1
155453,0
155454,1
155455,1
155456,1
155457,1
155458,0
155459,1
155460,0
155461,1
155462,1
155463,1
155464,1
155465,1
155466,0
155467,1
155468,0
155469,0
155470,0
155471,1
155472,1
155473,0
155474,1
155475,1
155476,0
155477,1
155478,1
155479,0
155480,1
155481,0
155482,0
155483,1
155484,1
155485,1
155486,0
155487,0
155488,0
155489,0
155490,1
155491,1
155492,0
155493,1
155494,1
155495,1
155496,0
155497,1
155498,0
155499,1
155500,0
155501,1
155502,1
155503,0
155504,1
155505,0
155506,1
155507,1
155508,0
155509,0
155510,0
155511,1
155512,1
155513,0
155514,0
155515,0
155516,0
155517,1
155518,0
155519,0
155520,0
155521,0
155522,1
155523,0
155524,0
155525,0
155526,0
155527,0
155528,1
155529,0
155530,1
155531,0
155532,0
155533,0
155534,0
155535,0
155536,0
155537,0
155538,1
155539,1
155540,1
155541,0
155542,0
155543,1
155544,0
155545,1
155546,0
155547,1
155548,0
155549,1
155550,1
155551,0
155552,0
155553,0
155554,0
155555,0
155556,1
155557,1
155558,0
155559,0
155560,1
155561,0
155562,1
155563,0
155564,1
155565,0
155566,0
155567,1
155568,0
155569,1
155570,1
155571,0
155572,1
155573,0
155574,1
155575,0
155576,1
155577,0
155578,0
155579,0
155580,0
155581,1
155582,1
155583,0
155584,1
155585,0
155586,1
155587,0
155588,0
155589,0
155590,1
155591,0
155592,1
155593,0
155594,0
155595,0
155596,0
155597,0
155598,1
155599,0
155600,0
155601,0
155602,0
155603,1
155604,0
155605,0
155606,1
155607,0
155608,0
155609,1
155610,1
155611,1
155612,1
155613,1
155614,0
155615,0
155616,0
155617,1
155618,1
155619,0
155620,1
155621,0
155622,1
155623,0
155624,1
155625,1
155626,1
155627,0
155628,0
155629,0
155630,0
155631,1
155632,0
155633,1
155634,1
155635,1
155636,1
155637,0
155638,0
155639,1
155640,1
155641,1
155642,0
155643,0
155644,0
155645,1
155646,1
155647,0
155648,1
155649,0
155650,1
155651,1
155652,1
155653,1
155654,0
155655,0
155656,1
155657,1
155658,0
155659,0
155660,1
155661,0
155662,0
155663,0
155664,0
155665,0
155666,1
155667,0
155668,0
155669,0
155670,0
155671,0
155672,0
155673,0
155674,0
155675,0
155676,0
155677,0
155678,1
155679,1
155680,1
155681,1
155682,1
155683,0
155684,1
155685,0
155686,1
155687,1
155688,0
155689,1
155690,0
155691,0
155692,0
155693,0
155694,1
155695,0
155696,0
155697,0
155698,0
155699,0
155700,1
155701,1
155702,1
155703,0
155704,0
155705,0
155706,1
155707,0
155708,0
155709,0
155710,0
155711,0
155712,0
155713,0
155714,0
155715,0
155716,1
155717,0
155718,1
155719,0
155720,1
155721,0
155722,0
155723,1
155724,1
155725,1
155726,0
155727,0
155728,1
155729,0
155730,0
155731,0
155732,1
155733,1
155734,1
155735,0
155736,0
155737,0
155738,1
155739,1
155740,1
155741,1
155742,0
155743,0
155744,0
155745,0
155746,0
155747,0
155748,1
155749,0
